City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,gizo,-8.103,156.8419,27.39,77,100,5.13,SB,1699818238
253,road town,18.4167,-64.6167,31.05,70,75,5.14,VG,1699818203
254,queenstown,-31.8976,26.8753,10.77,76,0,1.93,ZA,1699818239
255,makubetsu,45.3714,141.8211,0.46,66,98,4.02,JP,1699818239
256,vytegra,61.0064,36.4481,3.53,89,100,5.36,RU,1699818239
257,al jawf,29.5,38.75,23.68,29,20,4.84,SA,1699818240
258,new gloucester,43.9628,-70.2825,5.69,51,75,3.13,US,1699818241
259,corund,46.4667,25.1833,1.32,98,80,0.18,RO,1699818241
260,maua,-23.6678,-46.4614,36.11,26,86,1.06,BR,1699818241
261,arraial do cabo,-22.9661,-42.0278,29.98,74,0,5.14,BR,1699818242
262,lata,40.1629,-8.3327,17.82,96,99,1.57,PT,1699818242
263,vilyuysk,63.7553,121.6247,-21.17,99,44,2.05,RU,1699818243
264,cody,44.5263,-109.0565,13.47,22,0,5.14,US,1699818243
265,mitu,1.1983,-70.1733,28.94,70,98,1.12,CO,1699818244
266,mount gambier,-37.8333,140.7667,7.73,94,47,0.97,AU,1699818244
267,ringkobing,56.0901,8.244,6.64,86,100,2.88,DK,1699818245
268,wafangdian,39.6183,122.0081,-4.35,65,0,2.01,CN,1699818245
269,susuman,62.7833,148.1667,-33.56,97,100,0.31,RU,1699818246
270,umm kaddadah,13.6017,26.6876,30.89,26,97,3.42,SD,1699818246
271,leninskoye,41.7589,69.3864,4.9,56,0,2.22,KZ,1699818247
272,bluewater,34.1745,-114.2713,25.71,11,0,1.59,US,1699818247
273,aoulef,26.9667,1.0833,25.23,24,0,3.79,DZ,1699818248
274,tono,39.3167,141.5333,0.37,94,71,1.78,JP,1699818248
275,jerecuaro,20.15,-100.5167,25.35,37,33,1.15,MX,1699818248
276,mata-utu,-13.2816,-176.1745,28.65,75,41,7.13,WF,1699818249
277,kearney,40.6995,-99.0815,20.31,24,0,6.17,US,1699818135
278,i-n-salah,27.1935,2.4607,23.99,26,0,4.2,DZ,1699818250
279,ulsteinvik,62.3432,5.8487,4.06,74,0,2.68,NO,1699818250
280,zeya,53.75,127.2667,-3.62,42,11,4.22,RU,1699818251
281,pechora,65.1472,57.2244,-4.62,95,100,1.1,RU,1699818251
282,maragogi,-9.0122,-35.2225,26.2,66,2,4.44,BR,1699818252
283,strzalkowo,52.307,17.8181,5.06,87,100,4.64,PL,1699818252
284,arta,39.1606,20.9853,19.8,92,100,2.05,GR,1699818253
285,tadmur,34.5608,38.2805,18.7,54,99,0.38,SY,1699818253
286,parambu,-6.2111,-40.6944,34.67,20,0,3.34,BR,1699818254
287,alaghsas,17.0187,8.0168,26.18,12,0,5.17,NE,1699818254
288,hami,42.8,93.45,3.16,29,100,1.4,CN,1699818255
289,salahonda,2.1019,-78.7217,26.58,84,27,7.06,CO,1699818255
290,hirara,24.8,125.2833,21.92,88,75,8.75,JP,1699818256
291,gorno-altaysk,51.9561,85.955,3.62,92,100,1.79,RU,1699818257
292,pangkalanbuun,-2.6833,111.6167,23.66,99,100,0.42,ID,1699818257
293,hornostayivka,47.0078,33.729,9.08,79,90,8.21,UA,1699818257
294,ta`u,-14.2336,-169.5144,27.6,81,14,5.45,AS,1699818258
295,pokhara,28.2333,83.9833,15.37,58,0,2.39,NP,1699818259
296,port moresby,-9.4431,147.1797,21.68,94,75,2.57,PG,1699818260
297,katsuren-haebaru,26.3369,127.8719,22.01,62,40,5.14,JP,1699818261
298,maceio,-9.6658,-35.7353,28.69,61,20,5.66,BR,1699818261
299,ola,59.5833,151.2833,-10.71,66,100,7.17,RU,1699818262
300,shimoda,34.6667,138.95,10.06,70,22,6.58,JP,1699818262
301,vorgashor,67.5833,63.95,-9.07,94,43,5.3,RU,1699818263
302,baikonur,45.6167,63.3167,4.64,76,12,2.81,KZ,1699818263
303,katsuura,35.1333,140.3,10.01,86,26,7.12,JP,1699818264
304,eyl,7.9803,49.8164,27.33,79,97,7.96,SO,1699818264
305,pachino,36.7186,15.0907,20.21,81,100,9.53,IT,1699818265
306,acarau,-2.8856,-40.12,28.15,65,0,7.69,BR,1699818266
307,tamanrasset,22.785,5.5228,19.95,14,0,2.06,DZ,1699818266
308,paramonga,-10.6667,-77.8333,21.85,75,55,5.28,PE,1699818267
309,slave lake,55.2834,-114.769,4.99,48,0,8.23,CA,1699818267
310,aykhal,66.0,111.5,-11.59,84,100,3.58,RU,1699818268
311,torghay,49.6339,63.4981,5.03,89,28,2.82,KZ,1699818268
312,xiantao,30.3833,113.4,7.32,68,99,4.42,CN,1699818269
313,tazacorte,28.629,-17.9293,22.54,92,40,3.6,ES,1699818269
314,dunedin,-45.8742,170.5036,15.17,66,100,3.37,NZ,1699818203
315,smithers,54.7804,-127.1743,-2.82,100,75,1.54,CA,1699818011
316,kuragino,53.8975,92.6725,-10.69,95,97,1.16,RU,1699818271
317,chui,-33.6971,-53.4616,16.64,83,100,0.75,UY,1699818272
318,san fernando de apure,7.8878,-67.4724,32.3,61,100,1.69,VE,1699818272
319,howrah,22.5892,88.3103,23.0,78,7,1.54,IN,1699818273
320,marsh harbour,26.5412,-77.0636,26.27,63,96,3.72,BS,1699818143
